2018-03-08 14:53:40,297 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:53:40,300 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:53:40,301 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:56:08,745 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.avadhut:CassandraSamples:0.0.1-SNAPSHOT @ /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/pom.xml.
2018-03-08 14:56:11,945 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://maven.repository.redhat.com/ga/com/datastax/cassandra/cassandra-driver-core/3.4.0/cassandra-driver-core-3.4.0.pom
2018-03-08 14:56:12,507 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2018-03-08 14:56:13,497 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://mvnrepository.com/artifact/com/datastax/cassandra/cassandra-driver-core/3.4.0/cassandra-driver-core-3.4.0.pom
2018-03-08 14:56:14,442 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.repository.redhat.com/techpreview/all/com/datastax/cassandra/cassandra-driver-core/3.4.0/cassandra-driver-core-3.4.0.pom
2018-03-08 14:56:15,749 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.fusesource.com/nexus/content/repositories/releases/com/datastax/cassandra/cassandra-driver-core/3.4.0/cassandra-driver-core-3.4.0.pom
2018-03-08 14:56:22,869 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.fusesource.com/nexus/content/groups/ea/com/datastax/cassandra/cassandra-driver-core/3.4.0/cassandra-driver-core-3.4.0.pom
2018-03-08 14:56:24,600 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://maven.repository.redhat.com/earlyaccess/all/com/datastax/cassandra/cassandra-driver-core/3.4.0/cassandra-driver-core-3.4.0.pom
2018-03-08 14:56:27,421 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/datastax/cassandra/cassandra-driver-core/3.4.0/cassandra-driver-core-3.4.0.pom
2018-03-08 14:56:27,938 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/datastax/cassandra/cassandra-driver-core/3.4.0/cassandra-driver-core-3.4.0.pom
2018-03-08 14:56:29,528 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://maven.repository.redhat.com/ga/com/datastax/cassandra/cassandra-driver-parent/3.4.0/cassandra-driver-parent-3.4.0.pom
2018-03-08 14:56:30,903 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://mvnrepository.com/artifact/com/datastax/cassandra/cassandra-driver-parent/3.4.0/cassandra-driver-parent-3.4.0.pom
2018-03-08 14:56:31,932 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.repository.redhat.com/techpreview/all/com/datastax/cassandra/cassandra-driver-parent/3.4.0/cassandra-driver-parent-3.4.0.pom
2018-03-08 14:56:32,660 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.fusesource.com/nexus/content/repositories/releases/com/datastax/cassandra/cassandra-driver-parent/3.4.0/cassandra-driver-parent-3.4.0.pom
